[2026-04-02 11:50:48] INFO:     127.0.0.1:58686 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:51:05 TP0] Decode batch, #running-req: 1, #token: 5376, token usage: 0.00, accept len: 3.20, accept rate: 0.80, cuda graph: True, gen throughput (token/s): 365.14, #queue-req: 0
[2026-04-02 11:51:05 TP0] Decode batch, #running-req: 1, #token: 5504, token usage: 0.00, accept len: 2.90, accept rate: 0.72, cuda graph: True, gen throughput (token/s): 332.68, #queue-req: 0
[2026-04-02 11:51:05 TP0] Decode batch, #running-req: 1, #token: 5632, token usage: 0.00, accept len: 3.23, accept rate: 0.81, cuda graph: True, gen throughput (token/s): 369.12, #queue-req: 0
[2026-04-02 11:51:06 TP0] Decode batch, #running-req: 1, #token: 5760, token usage: 0.00, accept len: 2.40, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 276.20, #queue-req: 0
[2026-04-02 11:51:06 TP0] Decode batch, #running-req: 1, #token: 5824, token usage: 0.00, accept len: 2.00, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 230.88, #queue-req: 0
[2026-04-02 11:51:06 TP0] Decode batch, #running-req: 1, #token: 5888, token usage: 0.00, accept len: 1.95, accept rate: 0.49, cuda graph: True, gen throughput (token/s): 224.85, #queue-req: 0
[2026-04-02 11:51:07 TP0] Decode batch, #running-req: 1, #token: 5952, token usage: 0.00, accept len: 2.00, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 230.01, #queue-req: 0
[2026-04-02 11:51:07 TP0] Decode batch, #running-req: 1, #token: 6016, token usage: 0.00, accept len: 1.77, accept rate: 0.44, cuda graph: True, gen throughput (token/s): 204.52, #queue-req: 0
[2026-04-02 11:51:07 TP0] Decode batch, #running-req: 1, #token: 6144, token usage: 0.00, accept len: 2.30, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 264.35, #queue-req: 0
[2026-04-02 11:51:08 TP0] Decode batch, #running-req: 1, #token: 6208, token usage: 0.00, accept len: 1.68, accept rate: 0.42, cuda graph: True, gen throughput (token/s): 191.91, #queue-req: 0
[2026-04-02 11:51:08 TP0] Decode batch, #running-req: 1, #token: 6272, token usage: 0.00, accept len: 1.77, accept rate: 0.44, cuda graph: True, gen throughput (token/s): 204.15, #queue-req: 0
