[2026-04-02 11:58:28] INFO:     127.0.0.1:35568 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35576 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35588 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35596 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35602 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35614 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35626 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35638 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:53 TP0] Decode batch, #running-req: 8, #token: 34752, token usage: 0.02, accept len: 2.05, accept rate: 0.51, cuda graph: True, gen throughput (token/s): 1158.43, #queue-req: 0
[2026-04-02 11:58:54 TP0] Decode batch, #running-req: 8, #token: 35584, token usage: 0.02, accept len: 2.27, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 1275.17, #queue-req: 0
[2026-04-02 11:58:54 TP0] Decode batch, #running-req: 8, #token: 36288, token usage: 0.02, accept len: 2.08, accept rate: 0.52, cuda graph: True, gen throughput (token/s): 1177.51, #queue-req: 0
[2026-04-02 11:58:55 TP0] Decode batch, #running-req: 8, #token: 36928, token usage: 0.02, accept len: 2.33, accept rate: 0.58, cuda graph: True, gen throughput (token/s): 1313.52, #queue-req: 0
[2026-04-02 11:58:55 TP0] Decode batch, #running-req: 8, #token: 37696, token usage: 0.02, accept len: 2.36, accept rate: 0.59, cuda graph: True, gen throughput (token/s): 1323.53, #queue-req: 0
[2026-04-02 11:58:56 TP0] Decode batch, #running-req: 8, #token: 38400, token usage: 0.02, accept len: 2.15, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 1204.42, #queue-req: 0
[2026-04-02 11:58:56 TP0] Decode batch, #running-req: 8, #token: 39104, token usage: 0.02, accept len: 2.23, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 1246.04, #queue-req: 0
[2026-04-02 11:58:57 TP0] Decode batch, #running-req: 8, #token: 39808, token usage: 0.02, accept len: 2.20, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 1228.41, #queue-req: 0
[2026-04-02 11:58:58 TP0] Decode batch, #running-req: 8, #token: 40512, token usage: 0.02, accept len: 2.18, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 1207.65, #queue-req: 0
[2026-04-02 11:58:58 TP0] Decode batch, #running-req: 8, #token: 41216, token usage: 0.02, accept len: 2.17, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 1212.17, #queue-req: 0
[2026-04-02 11:58:59 TP0] Decode batch, #running-req: 8, #token: 41856, token usage: 0.03, accept len: 2.09, accept rate: 0.52, cuda graph: True, gen throughput (token/s): 1170.19, #queue-req: 0
[2026-04-02 11:58:59 TP0] Decode batch, #running-req: 8, #token: 42432, token usage: 0.03, accept len: 1.98, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 1106.40, #queue-req: 0
[2026-04-02 11:59:00 TP0] Decode batch, #running-req: 8, #token: 43136, token usage: 0.03, accept len: 1.97, accept rate: 0.49, cuda graph: True, gen throughput (token/s): 1107.97, #queue-req: 0
[2026-04-02 11:59:00 TP0] Decode batch, #running-req: 8, #token: 43840, token usage: 0.03, accept len: 2.12, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 1178.40, #queue-req: 0
[2026-04-02 11:59:01 TP0] Decode batch, #running-req: 8, #token: 44608, token usage: 0.03, accept len: 2.27, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 1263.13, #queue-req: 0
[2026-04-02 11:59:02 TP0] Decode batch, #running-req: 8, #token: 45312, token usage: 0.03, accept len: 2.12, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 1174.91, #queue-req: 0
[2026-04-02 11:59:02 TP0] Decode batch, #running-req: 8, #token: 46016, token usage: 0.03, accept len: 2.24, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 1237.34, #queue-req: 0
[2026-04-02 11:59:03 TP0] Decode batch, #running-req: 8, #token: 46656, token usage: 0.03, accept len: 2.00, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 1111.02, #queue-req: 0
[2026-04-02 11:59:03 TP0] Decode batch, #running-req: 8, #token: 47296, token usage: 0.03, accept len: 2.13, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 1179.11, #queue-req: 0
[2026-04-02 11:59:04 TP0] Decode batch, #running-req: 8, #token: 47936, token usage: 0.03, accept len: 2.15, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 1186.08, #queue-req: 0
[2026-04-02 11:59:04 TP0] Decode batch, #running-req: 8, #token: 48704, token usage: 0.03, accept len: 2.19, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 1208.27, #queue-req: 0
[2026-04-02 11:59:05 TP0] Decode batch, #running-req: 8, #token: 49408, token usage: 0.03, accept len: 2.23, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 1220.12, #queue-req: 0
[2026-04-02 11:59:06 TP0] Decode batch, #running-req: 8, #token: 50112, token usage: 0.03, accept len: 2.18, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 1195.74, #queue-req: 0
[2026-04-02 11:59:06 TP0] Decode batch, #running-req: 8, #token: 50752, token usage: 0.03, accept len: 2.15, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 1172.05, #queue-req: 0
[2026-04-02 11:59:07 TP0] Decode batch, #running-req: 8, #token: 51456, token usage: 0.03, accept len: 2.16, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 1174.52, #queue-req: 0
