[2026-04-02 15:14:10] INFO:     127.0.0.1:59882 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 15:14:41 TP0] Decode batch, #running-req: 1, #token: 7975, token usage: 0.01, accept len: 2.23, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 192.91, #queue-req: 0
[2026-04-02 15:14:42 TP0] Decode batch, #running-req: 1, #token: 8060, token usage: 0.01, accept len: 2.05, accept rate: 0.51, cuda graph: True, gen throughput (token/s): 186.80, #queue-req: 0
[2026-04-02 15:14:42 TP0] Decode batch, #running-req: 1, #token: 8147, token usage: 0.01, accept len: 2.20, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 201.27, #queue-req: 0
[2026-04-02 15:14:42 TP0] Decode batch, #running-req: 1, #token: 8223, token usage: 0.01, accept len: 1.90, accept rate: 0.47, cuda graph: True, gen throughput (token/s): 173.90, #queue-req: 0
[2026-04-02 15:14:43 TP0] Decode batch, #running-req: 1, #token: 8302, token usage: 0.01, accept len: 1.98, accept rate: 0.49, cuda graph: True, gen throughput (token/s): 179.82, #queue-req: 0
[2026-04-02 15:14:43 TP0] Decode batch, #running-req: 1, #token: 8369, token usage: 0.01, accept len: 1.70, accept rate: 0.42, cuda graph: True, gen throughput (token/s): 153.38, #queue-req: 0
[2026-04-02 15:14:44 TP0] Decode batch, #running-req: 1, #token: 8460, token usage: 0.02, accept len: 2.23, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 201.18, #queue-req: 0
[2026-04-02 15:14:44 TP0] Decode batch, #running-req: 1, #token: 8537, token usage: 0.02, accept len: 1.93, accept rate: 0.48, cuda graph: True, gen throughput (token/s): 174.49, #queue-req: 0
[2026-04-02 15:14:45 TP0] Decode batch, #running-req: 1, #token: 8595, token usage: 0.02, accept len: 1.45, accept rate: 0.36, cuda graph: True, gen throughput (token/s): 132.02, #queue-req: 0
[2026-04-02 15:14:45 TP0] Decode batch, #running-req: 1, #token: 8674, token usage: 0.02, accept len: 2.00, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 180.15, #queue-req: 0
[2026-04-02 15:14:46 TP0] Decode batch, #running-req: 1, #token: 8777, token usage: 0.02, accept len: 2.55, accept rate: 0.64, cuda graph: True, gen throughput (token/s): 229.51, #queue-req: 0
[2026-04-02 15:14:46 TP0] Decode batch, #running-req: 1, #token: 8874, token usage: 0.02, accept len: 2.48, accept rate: 0.62, cuda graph: True, gen throughput (token/s): 223.69, #queue-req: 0
[2026-04-02 15:14:46 TP0] Decode batch, #running-req: 1, #token: 8969, token usage: 0.02, accept len: 2.33, accept rate: 0.58, cuda graph: True, gen throughput (token/s): 211.58, #queue-req: 0
[2026-04-02 15:14:47 TP0] Decode batch, #running-req: 1, #token: 9053, token usage: 0.02, accept len: 2.17, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 195.57, #queue-req: 0
[2026-04-02 15:14:47 TP0] Decode batch, #running-req: 1, #token: 9146, token usage: 0.02, accept len: 2.25, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 203.47, #queue-req: 0
[2026-04-02 15:14:48 TP0] Decode batch, #running-req: 1, #token: 9241, token usage: 0.02, accept len: 2.45, accept rate: 0.61, cuda graph: True, gen throughput (token/s): 191.35, #queue-req: 0
[2026-04-02 15:14:48 TP0] Decode batch, #running-req: 1, #token: 9342, token usage: 0.02, accept len: 2.52, accept rate: 0.63, cuda graph: True, gen throughput (token/s): 226.95, #queue-req: 0
[2026-04-02 15:14:49 TP0] Decode batch, #running-req: 1, #token: 9450, token usage: 0.02, accept len: 2.70, accept rate: 0.68, cuda graph: True, gen throughput (token/s): 242.29, #queue-req: 0
[2026-04-02 15:14:49 TP0] Decode batch, #running-req: 1, #token: 9520, token usage: 0.02, accept len: 1.73, accept rate: 0.43, cuda graph: True, gen throughput (token/s): 156.67, #queue-req: 0
[2026-04-02 15:14:50 TP0] Decode batch, #running-req: 1, #token: 9605, token usage: 0.02, accept len: 2.10, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 189.40, #queue-req: 0
[2026-04-02 15:14:50 TP0] Decode batch, #running-req: 1, #token: 9698, token usage: 0.02, accept len: 2.30, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 206.86, #queue-req: 0
[2026-04-02 15:14:51 TP0] Decode batch, #running-req: 1, #token: 9799, token usage: 0.02, accept len: 2.60, accept rate: 0.65, cuda graph: True, gen throughput (token/s): 233.14, #queue-req: 0
[2026-04-02 15:14:51 TP0] Decode batch, #running-req: 1, #token: 9890, token usage: 0.02, accept len: 2.20, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 196.22, #queue-req: 0
[2026-04-02 15:14:51 TP0] Decode batch, #running-req: 1, #token: 9975, token usage: 0.02, accept len: 2.15, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 194.30, #queue-req: 0
[2026-04-02 15:14:52 TP0] Decode batch, #running-req: 1, #token: 10068, token usage: 0.02, accept len: 2.35, accept rate: 0.59, cuda graph: True, gen throughput (token/s): 211.49, #queue-req: 0
[2026-04-02 15:14:52 TP0] Decode batch, #running-req: 1, #token: 10185, token usage: 0.02, accept len: 2.92, accept rate: 0.73, cuda graph: True, gen throughput (token/s): 262.45, #queue-req: 0
[2026-04-02 15:14:53 TP0] Decode batch, #running-req: 1, #token: 10289, token usage: 0.02, accept len: 2.60, accept rate: 0.65, cuda graph: True, gen throughput (token/s): 231.94, #queue-req: 0
[2026-04-02 15:14:53 TP0] Decode batch, #running-req: 1, #token: 10416, token usage: 0.02, accept len: 3.20, accept rate: 0.80, cuda graph: True, gen throughput (token/s): 286.01, #queue-req: 0
[2026-04-02 15:14:54 TP0] Decode batch, #running-req: 1, #token: 10529, token usage: 0.02, accept len: 2.80, accept rate: 0.70, cuda graph: True, gen throughput (token/s): 248.70, #queue-req: 0
[2026-04-02 15:14:54 TP0] Decode batch, #running-req: 1, #token: 10647, token usage: 0.02, accept len: 2.98, accept rate: 0.74, cuda graph: True, gen throughput (token/s): 232.21, #queue-req: 0
[2026-04-02 15:14:55 TP0] Decode batch, #running-req: 1, #token: 10758, token usage: 0.02, accept len: 2.70, accept rate: 0.68, cuda graph: True, gen throughput (token/s): 239.59, #queue-req: 0
[2026-04-02 15:14:55 TP0] Decode batch, #running-req: 1, #token: 10866, token usage: 0.02, accept len: 2.77, accept rate: 0.69, cuda graph: True, gen throughput (token/s): 243.48, #queue-req: 0
[2026-04-02 15:14:56 TP0] Decode batch, #running-req: 1, #token: 10979, token usage: 0.02, accept len: 2.83, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 248.08, #queue-req: 0
[2026-04-02 15:14:56 TP0] Decode batch, #running-req: 1, #token: 11082, token usage: 0.02, accept len: 2.58, accept rate: 0.64, cuda graph: True, gen throughput (token/s): 229.40, #queue-req: 0
[2026-04-02 15:14:56 TP0] Decode batch, #running-req: 1, #token: 11196, token usage: 0.02, accept len: 2.85, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 252.61, #queue-req: 0
[2026-04-02 15:14:57 TP0] Decode batch, #running-req: 1, #token: 11294, token usage: 0.02, accept len: 2.45, accept rate: 0.61, cuda graph: True, gen throughput (token/s): 216.83, #queue-req: 0
[2026-04-02 15:14:57 TP0] Decode batch, #running-req: 1, #token: 11394, token usage: 0.02, accept len: 2.45, accept rate: 0.61, cuda graph: True, gen throughput (token/s): 217.59, #queue-req: 0
[2026-04-02 15:14:58 TP0] Decode batch, #running-req: 1, #token: 11507, token usage: 0.02, accept len: 2.80, accept rate: 0.70, cuda graph: True, gen throughput (token/s): 247.81, #queue-req: 0
[2026-04-02 15:14:58 TP0] Decode batch, #running-req: 1, #token: 11600, token usage: 0.02, accept len: 2.35, accept rate: 0.59, cuda graph: True, gen throughput (token/s): 210.30, #queue-req: 0
[2026-04-02 15:14:59 TP0] Decode batch, #running-req: 1, #token: 11700, token usage: 0.02, accept len: 2.48, accept rate: 0.62, cuda graph: True, gen throughput (token/s): 219.07, #queue-req: 0
[2026-04-02 15:14:59 TP0] Decode batch, #running-req: 1, #token: 11819, token usage: 0.02, accept len: 3.05, accept rate: 0.76, cuda graph: True, gen throughput (token/s): 267.00, #queue-req: 0
[2026-04-02 15:15:00 TP0] Decode batch, #running-req: 1, #token: 11935, token usage: 0.02, accept len: 2.85, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 249.54, #queue-req: 0
[2026-04-02 15:15:00 TP0] Decode batch, #running-req: 1, #token: 12034, token usage: 0.02, accept len: 2.52, accept rate: 0.63, cuda graph: True, gen throughput (token/s): 223.91, #queue-req: 0
[2026-04-02 15:15:01 TP0] Decode batch, #running-req: 1, #token: 12147, token usage: 0.02, accept len: 2.83, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 228.46, #queue-req: 0
[2026-04-02 15:15:01 TP0] Decode batch, #running-req: 1, #token: 12258, token usage: 0.02, accept len: 2.77, accept rate: 0.69, cuda graph: True, gen throughput (token/s): 234.21, #queue-req: 0
[2026-04-02 15:15:01 TP0] Decode batch, #running-req: 1, #token: 12373, token usage: 0.02, accept len: 2.80, accept rate: 0.70, cuda graph: True, gen throughput (token/s): 244.98, #queue-req: 0
[2026-04-02 15:15:02 TP0] Decode batch, #running-req: 1, #token: 12472, token usage: 0.02, accept len: 2.55, accept rate: 0.64, cuda graph: True, gen throughput (token/s): 225.32, #queue-req: 0
[2026-04-02 15:15:02 TP0] Decode batch, #running-req: 1, #token: 12591, token usage: 0.02, accept len: 2.98, accept rate: 0.74, cuda graph: True, gen throughput (token/s): 259.34, #queue-req: 0
[2026-04-02 15:15:03 TP0] Decode batch, #running-req: 1, #token: 12714, token usage: 0.02, accept len: 3.08, accept rate: 0.77, cuda graph: True, gen throughput (token/s): 271.32, #queue-req: 0
[2026-04-02 15:15:03 TP0] Decode batch, #running-req: 1, #token: 12833, token usage: 0.02, accept len: 2.90, accept rate: 0.72, cuda graph: True, gen throughput (token/s): 255.76, #queue-req: 0
[2026-04-02 15:15:04 TP0] Decode batch, #running-req: 1, #token: 12960, token usage: 0.02, accept len: 3.17, accept rate: 0.79, cuda graph: True, gen throughput (token/s): 279.56, #queue-req: 0
[2026-04-02 15:15:04 TP0] Decode batch, #running-req: 1, #token: 13060, token usage: 0.02, accept len: 2.58, accept rate: 0.64, cuda graph: True, gen throughput (token/s): 225.01, #queue-req: 0
[2026-04-02 15:15:05 TP0] Decode batch, #running-req: 1, #token: 13161, token usage: 0.02, accept len: 2.50, accept rate: 0.62, cuda graph: True, gen throughput (token/s): 221.48, #queue-req: 0
[2026-04-02 15:15:05 TP0] Decode batch, #running-req: 1, #token: 13282, token usage: 0.02, accept len: 3.05, accept rate: 0.76, cuda graph: True, gen throughput (token/s): 266.75, #queue-req: 0
[2026-04-02 15:15:06 TP0] Decode batch, #running-req: 1, #token: 13394, token usage: 0.02, accept len: 2.80, accept rate: 0.70, cuda graph: True, gen throughput (token/s): 244.96, #queue-req: 0
[2026-04-02 15:15:06 TP0] Decode batch, #running-req: 1, #token: 13514, token usage: 0.02, accept len: 3.00, accept rate: 0.75, cuda graph: True, gen throughput (token/s): 262.98, #queue-req: 0
[2026-04-02 15:15:06 TP0] Decode batch, #running-req: 1, #token: 13630, token usage: 0.02, accept len: 2.88, accept rate: 0.72, cuda graph: True, gen throughput (token/s): 261.94, #queue-req: 0
[2026-04-02 15:15:07 TP0] Decode batch, #running-req: 1, #token: 13742, token usage: 0.02, accept len: 2.83, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 257.54, #queue-req: 0
[2026-04-02 15:15:07 TP0] Decode batch, #running-req: 1, #token: 13854, token usage: 0.02, accept len: 2.80, accept rate: 0.70, cuda graph: True, gen throughput (token/s): 238.70, #queue-req: 0
[2026-04-02 15:15:08 TP0] Decode batch, #running-req: 1, #token: 13986, token usage: 0.03, accept len: 3.23, accept rate: 0.81, cuda graph: True, gen throughput (token/s): 286.48, #queue-req: 0
[2026-04-02 15:15:08 TP0] Decode batch, #running-req: 1, #token: 14097, token usage: 0.03, accept len: 2.77, accept rate: 0.69, cuda graph: True, gen throughput (token/s): 245.75, #queue-req: 0
[2026-04-02 15:15:09 TP0] Decode batch, #running-req: 1, #token: 14205, token usage: 0.03, accept len: 2.73, accept rate: 0.68, cuda graph: True, gen throughput (token/s): 241.24, #queue-req: 0
[2026-04-02 15:15:09 TP0] Decode batch, #running-req: 1, #token: 14312, token usage: 0.03, accept len: 2.73, accept rate: 0.68, cuda graph: True, gen throughput (token/s): 240.51, #queue-req: 0
[2026-04-02 15:15:10 TP0] Decode batch, #running-req: 1, #token: 14442, token usage: 0.03, accept len: 3.25, accept rate: 0.81, cuda graph: True, gen throughput (token/s): 287.31, #queue-req: 0
[2026-04-02 15:15:10 TP0] Decode batch, #running-req: 1, #token: 14540, token usage: 0.03, accept len: 2.45, accept rate: 0.61, cuda graph: True, gen throughput (token/s): 216.92, #queue-req: 0
